"","leg_id","type","name","committee_id","bill_id"
"21724","TXL000677","cosponsor","Biedermann",NA,"SJR 2"
"21725","TXL000221","cosponsor","Bohac",NA,"SJR 2"
"21726","TXL000223","cosponsor","Bonnen, Dennis",NA,"SJR 2"
"21727","TXL000426","cosponsor","Bonnen, Greg",NA,"SJR 2"
"21728","TXL000373","cosponsor","Burkett",NA,"SJR 2"
"21729","TXL000500","cosponsor","Burrows",NA,"SJR 2"
"21730","TXL000228","cosponsor","Button",NA,"SJR 2"
"21731","TXL000696","cosponsor","Cain",NA,"SJR 2"
"21732","TXL000429","cosponsor","Capriglione",NA,"SJR 2"
"21733","TXL000430","cosponsor","Clardy",NA,"SJR 2"
"21734","TXL000697","cosponsor","Cosper",NA,"SJR 2"
"21735","TXL000516","cosponsor","Cyrier",NA,"SJR 2"
"21736","TXL000433","cosponsor","Dale",NA,"SJR 2"
"21737","TXL000242","cosponsor","Darby",NA,"SJR 2"
"21738","TXL000691","cosponsor","Dean",NA,"SJR 2"
"21739","TXL000253","cosponsor","Elkins",NA,"SJR 2"
"21740","TXL000506","cosponsor","Faircloth",NA,"SJR 2"
"21741","TXL000434","cosponsor","Fallon",NA,"SJR 2"
"21742","TXL000260","cosponsor","Flynn",NA,"SJR 2"
"21743","TXL000436","cosponsor","Frank",NA,"SJR 2"
"21744","TXL000379","cosponsor","Frullo",NA,"SJR 2"
"21745","TXL000264","cosponsor","Geren",NA,"SJR 2"
"21746","TXL000437","cosponsor","Goldman",NA,"SJR 2"
"21747","TXL000695","cosponsor","Gooden",NA,"SJR 2"
"21748","TXL000689","cosponsor","Hefner",NA,"SJR 2"
"21749","TXL000690","cosponsor","Holland",NA,"SJR 2"
"21750","TXL000385","cosponsor","Huberty",NA,"SJR 2"
"21751","TXL000386","cosponsor","Isaac",NA,"SJR 2"
"21752","TXL000441","cosponsor","Kacal",NA,"SJR 2"
"21753","TXL000485","cosponsor","Keough",NA,"SJR 2"
"21754","TXL000295","cosponsor","King, Phil",NA,"SJR 2"
"21755","TXL000443","cosponsor","Klick",NA,"SJR 2"
"21756","TXL000444","cosponsor","Krause",NA,"SJR 2"
"21757","TXL000387","cosponsor","Kuempel",NA,"SJR 2"
"21758","TXL000681","cosponsor","Lambert",NA,"SJR 2"
"21759","TXL000490","cosponsor","Landgraf",NA,"SJR 2"
"21760","TXL000675","cosponsor","Lang",NA,"SJR 2"
"21761","TXL000299","cosponsor","Laubenberg",NA,"SJR 2"
"21762","TXL000445","cosponsor","Leach",NA,"SJR 2"
"21763","TXL000391","cosponsor","Lozano",NA,"SJR 2"
"21764","TXL000502","cosponsor","Metcalf",NA,"SJR 2"
"21765","TXL000397","cosponsor","Murphy",NA,"SJR 2"
"21766","TXL000687","cosponsor","Oliverson",NA,"SJR 2"
"21767","TXL000454","cosponsor","Paddie",NA,"SJR 2"
"21768","TXL000325","cosponsor","Parker",NA,"SJR 2"
"21769","TXL000484","cosponsor","Paul",NA,"SJR 2"
"21770","TXL000496","cosponsor","Phelan",NA,"SJR 2"
"21771","TXL000329","cosponsor","Phillips",NA,"SJR 2"
"21772","TXL000415","cosponsor","Raney",NA,"SJR 2"
"21773","TXL000493","cosponsor","Rinaldi",NA,"SJR 2"
"21774","TXL000688","cosponsor","Roberts",NA,"SJR 2"
"21775","TXL000460","cosponsor","Schaefer",NA,"SJR 2"
"21776","TXL000673","cosponsor","Schubert",NA,"SJR 2"
"21777","TXL000495","cosponsor","Shaheen",NA,"SJR 2"
"21778","TXL000461","cosponsor","Sheffield",NA,"SJR 2"
"21779","TXL000685","cosponsor","Shine",NA,"SJR 2"
"21780","TXL000344","cosponsor","Smithee",NA,"SJR 2"
"21781","TXL000463","cosponsor","Springer",NA,"SJR 2"
"21782","TXL000464","cosponsor","Stephenson",NA,"SJR 2"
"21783","TXL000465","cosponsor","Stickland",NA,"SJR 2"
"21784","TXL000680","cosponsor","Stucky",NA,"SJR 2"
"21785","TXL000694","cosponsor","Swanson",NA,"SJR 2"
"21786","TXL000466","cosponsor","Thompson, Ed",NA,"SJR 2"
"21787","TXL000499","cosponsor","Tinderholt",NA,"SJR 2"
"21788","TXL000494","cosponsor","VanDeaver",NA,"SJR 2"
"21789",NA,"cosponsor","White",NA,"SJR 2"
"21790","TXL000678","cosponsor","Wilson",NA,"SJR 2"
"21791","TXL000411","cosponsor","Workman",NA,"SJR 2"
"21792","TXL000481","cosponsor","Wray",NA,"SJR 2"
"21793","TXL000412","cosponsor","Zedler",NA,"SJR 2"
"21794","TXL000350","primary","Taylor, Van",NA,"SB 139"
"21795","TXL000299","primary","Laubenberg",NA,"SB 139"
"21796","TXL000487","primary","Burton",NA,"SB 327"
"21797","TXL000473","cosponsor","Garcia",NA,"SB 327"
"21798","TXL000479","cosponsor","Huffines",NA,"SB 327"
"21799","TXL000312","cosponsor","Menéndez",NA,"SB 327"
"21800","TXL000414","cosponsor","Rodríguez",NA,"SB 327"
"21801","TXL000352","primary","Thompson, Senfronia",NA,"SB 327"
"21802","TXL000400","primary","Perry",NA,"SB 658"
"21803","TXL000268","primary","Guillen",NA,"SB 658"
"21804","TXL000213","primary","Zaffirini",NA,"SB 657"
"21805","TXL000203","primary","Seliger",NA,"SB 886"
"21806","TXL000203","primary","Seliger",NA,"SB 1092"
"21807","TXL000203","primary","Seliger",NA,"SB 885"
"21808","TXL000487","primary","Burton",NA,"SB 1078"
"21809","TXL000240","primary","Creighton",NA,"SB 908"
"21810","TXL000473","cosponsor","Garcia",NA,"SB 908"
"21811","TXL000196","primary","Huffman",NA,"SB 1296"
"21812","TXL000208","primary","Watson",NA,"SB 2005"
"21813","TXL000405","primary","Schwertner",NA,"SB 1923"
"21814","TXL000240","cosponsor","Creighton",NA,"SB 1923"
"21815","TXL000199","cosponsor","Nelson",NA,"SB 1923"
"21816","TXL000200","cosponsor","Nichols",NA,"SB 1923"
"21817","TXL000206","cosponsor","Uresti",NA,"SB 1923"
"21818","TXL000208","cosponsor","Watson",NA,"SB 1923"
"21819","TXL000240","primary","Creighton",NA,"SB 1966"
"21820","TXL000190","primary","Estes",NA,"SCR 35"
"21821","TXL000240","cosponsor","Creighton",NA,"SCR 35"
"21822","TXL000260","primary","Flynn",NA,"SCR 35"
"21823","TXL000240","primary","Creighton",NA,"SB 2272"
"21824","TXL000190","primary","Estes",NA,"SR 765"
"21825","TXL000199","primary","Nelson",NA,"SR 765"
"21826","TXL000206","primary","Uresti",NA,"SR 769"
"21827","TXL000210","primary","West",NA,"SR 771"
"21828","TXL000203","primary","Seliger",NA,"SR 766"
"21829","TXL000198","primary","Lucio",NA,"SR 764"
"21830","TXL000213","primary","Zaffirini",NA,"SR 767"
"21831","TXL000199","primary","Nelson",NA,"SR 767"
"21832","TXL000208","primary","Watson",NA,"SR 767"
"21833","TXL000195","primary","Hinojosa",NA,"SB 293"
"21834","TXL000405","primary","Schwertner",NA,"SB 293"
"21835","TXL000240","cosponsor","Creighton",NA,"SB 293"
"21836","TXL000705","primary","Buckingham",NA,"SB 630"
"21837","TXL000716","primary","Hughes",NA,"SCR 25"
"21838","TXL000198","cosponsor","Lucio",NA,"SCR 25"
"21839","TXL000430","primary","Clardy",NA,"SCR 25"
"21840","TXL000213","primary","Zaffirini",NA,"SB 988"
"21841","TXL000475","primary","Israel",NA,"SB 988"
"21842","TXL000213","primary","Zaffirini",NA,"SB 1120"
"21843","TXL000481","primary","Wray",NA,"SB 1120"
"21844","TXL000198","primary","Lucio",NA,"SB 1302"
"21845","TXL000271","primary","Hancock",NA,"SJR 60"
"21846","TXL000325","primary","Parker",NA,"SJR 60"
"21847","TXL000334","primary","Raymond",NA,"SJR 60"
"21848","TXL000681","primary","Lambert",NA,"SJR 60"
"21849","TXL000446","primary","Longoria",NA,"SJR 60"
"21850","TXL000439","primary","Guerra",NA,"SJR 60"
"21851","TXL000716","primary","Hughes",NA,"SB 1937"
"21852","TXL000200","cosponsor","Nichols",NA,"SB 1937"
"21853","TXL000414","primary","Rodríguez",NA,"SB 1631"
"21854","TXL000210","primary","West",NA,"SB 2054"
"21855","TXL000716","cosponsor","Hughes",NA,"SB 2054"
"21856","TXL000199","cosponsor","Nelson",NA,"SB 2054"
"21857","TXL000217","primary","Anchia",NA,"SB 2054"
"21858","TXL000297","primary","Kolkhorst",NA,"SCR 43"
"21859","TXL000318","primary","Morrison, Geanie W.",NA,"SCR 43"
"21860","TXL000286","primary","Hunter",NA,"SCR 43"
"21861","TXL000716","primary","Hughes",NA,"SCR 44"
"21862","TXL000689","primary","Hefner",NA,"SCR 44"
"21863","TXL000716","primary","Hughes",NA,"SCR 45"
"21864",NA,"primary","Lucio III",NA,"SCR 45"
"21865","TXL000716","primary","Hughes",NA,"SB 2247"
"21866","TXL000707","primary","Miles",NA,"SB 2266"
"21867","TXL000240","primary","Creighton",NA,"SB 2269"
"21868","TXL000190","primary","Estes",NA,"SR 759"
"21869","TXL000208","primary","Watson",NA,"SR 759"
"21870","TXL000716","primary","Hughes",NA,"SR 756"
"21871","TXL000312","primary","Menéndez",NA,"SR 760"
"21872","TXL000419","primary","Campbell",NA,"SR 760"
"21873","TXL000206","primary","Uresti",NA,"SR 760"
"21874","TXL000213","primary","Zaffirini",NA,"SR 760"
"21875","TXL000716","primary","Hughes",NA,"SR 757"
"21876","TXL000405","primary","Schwertner",NA,"SR 761"
"21877","TXL000716","primary","Hughes",NA,"SR 755"
"21878","TXL000210","primary","West",NA,"SR 763"
"21879","TXL000400","primary","Perry",NA,"SR 721"
"21880","TXL000198","primary","Lucio",NA,"SR 758"
"21881","TXL000203","primary","Seliger",NA,"SR 762"
"21882","TXL000297","primary","Kolkhorst",NA,"SB 210"
"21883","TXL000482","cosponsor","Bettencourt",NA,"SB 210"
"21884","TXL000503","cosponsor","Hall",NA,"SB 210"
"21885","TXL000479","primary","Huffines",NA,"SB 260"
"21886","TXL000503","cosponsor","Hall",NA,"SB 260"
"21887","TXL000479","primary","Huffines",NA,"SB 258"
"21888","TXL000482","cosponsor","Bettencourt",NA,"SB 258"
"21889","TXL000503","cosponsor","Hall",NA,"SB 258"
"21890","TXL000716","cosponsor","Hughes",NA,"SB 258"
"21891","TXL000487","primary","Burton",NA,"SB 382"
"21892","TXL000213","cosponsor","Zaffirini",NA,"SB 382"
"21893","TXL000240","primary","Creighton",NA,"SB 25"
"21894","TXL000482","primary","Bettencourt",NA,"SB 25"
"21895","TXL000364","primary","Birdwell",NA,"SB 25"
"21896","TXL000487","primary","Burton",NA,"SB 25"
"21897","TXL000419","primary","Campbell",NA,"SB 25"
"21898","TXL000190","primary","Estes",NA,"SB 25"
"21899","TXL000503","primary","Hall",NA,"SB 25"
"21900","TXL000271","primary","Hancock",NA,"SB 25"
"21901","TXL000479","primary","Huffines",NA,"SB 25"
"21902","TXL000196","primary","Huffman",NA,"SB 25"
"21903","TXL000297","primary","Kolkhorst",NA,"SB 25"
"21904","TXL000199","primary","Nelson",NA,"SB 25"
"21905","TXL000200","primary","Nichols",NA,"SB 25"
"21906","TXL000400","primary","Perry",NA,"SB 25"
"21907","TXL000405","primary","Schwertner",NA,"SB 25"
"21908","TXL000203","primary","Seliger",NA,"SB 25"
"21909","TXL000349","primary","Taylor, Larry",NA,"SB 25"
"21910","TXL000350","primary","Taylor, Van",NA,"SB 25"
"21911","TXL000705","cosponsor","Buckingham",NA,"SB 25"
"21912","TXL000716","cosponsor","Hughes",NA,"SB 25"
"21913","TXL000198","cosponsor","Lucio",NA,"SB 25"
"21914","TXL000462","primary","Simmons",NA,"SB 25"
"21915","TXL000271","primary","Hancock",NA,"SB 451"
"21916","TXL000705","cosponsor","Buckingham",NA,"SB 451"
"21917","TXL000716","cosponsor","Hughes",NA,"SB 451"
"21918","TXL000400","primary","Perry",NA,"SB 454"
"21919","TXL000503","cosponsor","Hall",NA,"SB 454"
"21920","TXL000479","primary","Huffines",NA,"SCR 8"
"21921","TXL000297","cosponsor","Kolkhorst",NA,"SCR 8"
"21922","TXL000479","primary","Huffines",NA,"SB 637"
"21923","TXL000419","cosponsor","Campbell",NA,"SB 637"
"21924","TXL000479","primary","Huffines",NA,"SB 664"
"21925","TXL000400","primary","Perry",NA,"SJR 36"
"21926","TXL000705","primary","Buckingham",NA,"SB 697"
"21927","TXL000419","primary","Campbell",NA,"SB 697"
"21928","TXL000190","primary","Estes",NA,"SB 697"
"21929","TXL000405","primary","Schwertner",NA,"SB 697"
"21930","TXL000400","cosponsor","Perry",NA,"SB 697"
"21931","TXL000210","cosponsor","West",NA,"SB 697"
"21932","TXL000213","cosponsor","Zaffirini",NA,"SB 697"
"21933","TXL000297","primary","Kolkhorst",NA,"SB 740"
"21934","TXL000364","cosponsor","Birdwell",NA,"SB 740"
"21935","TXL000400","cosponsor","Perry",NA,"SB 740"
