"","title","created_at","updated_at","id","chamber","state","session","type","bill_id"
"1984","Relating to a petition for a municipal animal control authority to manage dangerous dogs and aggressive dogs in the extraterritorial jurisdiction of the municipality.","2017-03-11 08:34:57","2017-06-05 10:28:18","TXB00054734","lower","tx","85","bill","HB 3517"
"1985","Relating to assistance for foster children, homeless children or youth, and unaccompanied youth.","2017-03-11 08:34:58","2017-06-05 10:28:04","TXB00054764","lower","tx","85","bill","HB 3561"
"1986","Relating to the enforcement of commercial motor vehicle safety standards in certain counties.","2017-03-11 08:34:58","2017-06-05 10:28:27","TXB00054801","lower","tx","85","bill","HB 3455"
"1987","Relating to the designation of a portion of State Highway 360 in Tarrant County as the Rosa Parks Memorial Parkway.","2017-03-11 08:34:58","2017-06-05 10:28:06","TXB00054819","lower","tx","85","bill","HB 3897"
"1988","Relating to the administration of certain water districts.","2017-03-11 08:34:59","2017-06-05 10:28:16","TXB00054881","lower","tx","85","bill","HB 4183"
"1989","Relating to the enforcement of a restrictive covenant on property used as an assisted living facility.","2017-03-11 08:35:00","2017-06-05 10:28:44","TXB00054884","lower","tx","85","bill","HB 3888"
"1990","Relating to dissemination of bacterial meningitis information by school districts.","2017-03-11 08:35:01","2017-06-05 10:28:02","TXB00054966","lower","tx","85","bill","HB 4151"
"1991","Relating to the regulation of barbering and cosmetology.","2017-03-11 08:35:01","2017-06-05 10:28:52","TXB00054984","lower","tx","85","bill","HB 3307"
"1992","Relating to signs required to be posted in licensed vehicle storage facilities.","2017-03-11 08:35:01","2017-06-05 10:28:38","TXB00054985","lower","tx","85","bill","HB 4126"
"1993","Relating to Texas Military Heroes Day in public schools.","2017-03-11 08:35:02","2017-06-05 10:28:02","TXB00055012","lower","tx","85","bill","HB 3381"
"1994","Relating to a landlord's notice to residential tenants regarding rent increases.","2017-03-11 08:35:02","2017-06-05 10:28:39","TXB00055027","lower","tx","85","bill","HB 3363"
"1995","Relating to the appointment and election of levee improvement district directors.","2017-03-11 08:35:03","2017-06-05 10:28:16","TXB00055066","lower","tx","85","bill","HB 3789"
